Article,Total_words,frequency,relative_freq
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\0_news_article,101,1,0.00990099
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\10_news_article,105,7,0.066666667
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\13_news_article,93,1,0.010752688
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\15_news_article,106,3,0.028301887
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\16_news_article,60,1,0.016666667
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\17_news_article,92,2,0.02173913
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\18_news_article,105,6,0.057142857
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\19_news_article,90,2,0.022222222
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\20_news_article,104,2,0.019230769
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\23_news_article,82,3,0.036585366
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\24_news_article,119,3,0.025210084
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\27_news_article,103,4,0.038834951
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\28_news_article,113,3,0.026548673
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\29_news_article,66,3,0.045454545
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\2_news_article,103,5,0.048543689
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\30_news_article,113,3,0.026548673
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\31_news_article,104,3,0.028846154
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\32_news_article,105,2,0.019047619
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\33_news_article,109,1,0.009174312
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\34_news_article,100,4,0.04
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\35_news_article,95,4,0.042105263
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\37_news_article,103,2,0.019417476
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\38_news_article,114,6,0.052631579
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\39_news_article,102,5,0.049019608
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\3_news_article,88,2,0.022727273
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\41_news_article,102,2,0.019607843
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\42_news_article,67,2,0.029850746
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\43_news_article,105,4,0.038095238
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\45_news_article,81,2,0.024691358
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\46_news_article,98,3,0.030612245
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\48_news_article,101,3,0.02970297
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\49_news_article,96,2,0.020833333
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\52_news_article,102,2,0.019607843
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\53_news_article,101,2,0.01980198
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\55_news_article,117,2,0.017094017
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\56_news_article,99,2,0.02020202
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\57_news_article,104,2,0.019230769
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\58_news_article,108,1,0.009259259
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\59_news_article,100,1,0.01
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\60_news_article,105,1,0.00952381
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\61_news_article,110,3,0.027272727
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\62_news_article,107,4,0.037383178
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\63_news_article,108,3,0.027777778
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\64_news_article,96,4,0.041666667
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\65_news_article,100,2,0.02
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\66_news_article,91,4,0.043956044
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\67_news_article,95,4,0.042105263
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\68_news_article,93,3,0.032258065
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\6_news_article,99,1,0.01010101
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\72_news_article,99,2,0.02020202
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\74_news_article,96,3,0.03125
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\75_news_article,110,1,0.009090909
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\76_news_article,108,4,0.037037037
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\77_news_article,98,1,0.010204082
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\78_news_article,108,2,0.018518519
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\79_news_article,100,1,0.01
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\7_news_article,97,3,0.030927835
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\80_news_article,102,5,0.049019608
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\81_news_article,96,2,0.020833333
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\82_news_article,72,2,0.027777778
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\84_news_article,103,3,0.029126214
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\85_news_article,97,2,0.020618557
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\86_news_article,122,2,0.016393443
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\87_news_article,98,2,0.020408163
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\88_news_article,94,1,0.010638298
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\89_news_article,95,1,0.010526316
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\8_news_article,94,3,0.031914894
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\91_news_article,99,1,0.01010101
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\95_news_article,97,2,0.020618557
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\96_news_article,65,2,0.030769231
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\98_news_article,107,1,0.009345794
E:\Study\Dalhousie\DM\Assignment 4\News\News Articles\9_news_article,100,6,0.06
